geoname_id,name,ascii_name,feature_class,feature_code,population,admin1_code,admin2_code,latitude,longitude
753037,Żurowa,Zurowa,P,PPL,2321,77,1216,49.82636,21.16894
754520,Wyśmierzyce,Wysmierzyce,P,PPLA3,858,78,1401,51.62494,20.81394
754847,Wólka Tanewska,Wolka Tanewska,P,PPL,1453,80,1812,50.50005,22.26113
755572,Wiśniowa,Wisniowa,P,PPL,1900,77,1209,49.7878,20.11502
756048,Węgorzewo,Wegorzewo,P,PPLA3,11864,85,2819,54.21567,21.7372
756197,Jodłówka-Wałki,Jodlowka-Walki,P,PPL,1119,77,1216,50.04992,21.13332
757479,Szarów,Szarow,P,PPL,1337,77,1219,49.99505,20.2696
758467,Srokowo,Srokowo,P,PPL,1400,85,2808,54.21416,21.52282
759399,Siedliska,Siedliska,P,PPL,2351,77,1216,49.87163,20.99625
759534,Sawin,Sawin,P,PPL,2181,75,0603,51.27443,23.43375
760745,Radoszyce,Radoszyce,P,PPLA3,3400,84,2605,51.07392,20.25836
760825,Raczki,Raczki,P,PPL,2322,81,2012,53.98749,22.78487
761255,Pruchnik,Pruchnik,P,PPL,3694,80,1804,49.9062,22.51554
762663,Paprotnia,Paprotnia,P,PPLA3,184,78,1426,52.30071,22.46756
762904,Ostrów,Ostrow,P,PPL,1800,80,1804,49.96812,22.7871
763121,Opatów,Opatow,P,PPLA2,6799,84,2606,50.80058,21.42538
3100619,Daszyna,Daszyna,P,PPLA3,600,74,1004,52.15503,19.18153
3100880,Dąbie,Dabie,P,PPLA3,2003,86,3009,52.08668,18.8225
3100936,Człopa,Czlopa,P,PPLA3,2370,87,3217,53.08856,16.12098
3101170,Czarna Woda,Czarna Woda,P,PPL,3227,82,2213,53.84458,18.10006
3101198,Czarków,Czarkow,P,PPL,1924,83,2410,50.01833,18.90678
3101869,Cewice,Cewice,P,PPL,1687,82,2208,54.43551,17.73485
3103531,Biały Bór,Bialy Bor,P,PPLA3,2209,87,3215,53.8967,16.83543
3104132,Aleksandrów Łódzki,Aleksandrow Lodzki,P,PPLA3,20292,74,1020,51.81965,19.30384
7302565,Rzgów,Rzgow,P,PPLA3,3370,74,1006,51.66345,19.49181
12047621,Rejon ulicy Saperów,Rejon ulicy Saperow,P,PPLX,1402,72,0264,51.08614,17.0005
12047646,Swojczyce,Swojczyce,P,PPLX,1215,72,0264,51.11567,17.12535
763989,Niedźwiada,Niedzwiada,P,PPL,2466,80,1815,49.98937,21.52162
